Date,Stress Score,Sleep Score,bed time,wake up,REM,,Light,,Deep,,segmentation,resting_heart_rate
2023/9/22,72,73,03:37,08:06,0,44,2,31,0,44,2,64
2023/9/23,70,88,02:57,10:15,1,49,3,12,1,17,2,63
2023/9/24,67,79,05:03,11:40,1,0,3,38,1,15,1,62
2023/9/25,64,71,02:57,07:54,0,42,2,21,1,15,2,63
2023/9/26,62,72,01:16,07:55,0,35,3,38,1,25,2,64
2023/9/27,61,68,02:52,07:52,0,47,2,20,1,2,2,65
2023/9/28,70,74,02:20,08:35,1,15,2,52,1,14,1,66
2023/9/29,,,,,,,,,,,,
2023/9/30,72,83,02:05,09:48,1,19,3,49,1,35,1,67
2023/10/1,70,70,04:41,08:51,0,36,2,33,0,42,1,67
2023/10/2,76,77,02:03,07:54,0,47,3,12,1,8,2,69
2023/10/3,80,82,01:04,07:55,1,6,3,25,1,31,2,68
2023/10/4,73,76,02:42,08:05,0,18,3,33,0,56,3,66
2023/10/5,74,76,01:51,08:04,0,49,3,4,1,12,1,63
2023/10/6,73,78,02:49,08:05,1,12,2,34,0,52,2,61
2023/10/7,,85,03:00,13:00,1,23,5,56,1,26,1,61
2023/10/8,,85,03:00,15:38,1,43,7,40,1,50,1,61
2023/10/9,71,80,04:46,12:40,1,13,4,55,0,45,1,59
2023/10/10,,88,02:36,13:12,2,10,5,46,1,13,1,60
2023/10/11,75,75,03:29,07:55,0,43,2,43,0,31,2,59
2023/10/12,76,69,04:03,08:00,0,38,2,20,0,31,1,59
2023/10/13,73,72,02:25,07:52,1,6,3,7,0,26,2,61
2023/10/14,73,82,01:46,12:24,1,18,6,11,1,35,1,63
2023/10/15,76,63,03:56,13:30,0,46,5,6,0,25,2,61
2023/10/16,70,74,00:52,07:45,0,59,4,3,0,51,3,61
2023/10/17,67,51,04:20,07:54,0,11,2,8,0,34,3,60
2023/10/18,74,53,04:54,08:17,0,16,1,47,0,8,1,63
2023/10/19,75,74,19:19,01:36,0,40,3,45,0,57,3,62
2023/10/20,75,71,03:23,08:02,0,46,2,11,0,56,3,61
2023/10/21,76,65,04:36,09:09,0,23,2,55,0,30,1,61
2023/10/22,,84,00:57,13:39,1,26,7,48,1,56,1,60
2023/10/23,75,62,03:50,07:46,0,9,2,27,0,41,3,59
2023/10/24,79,70,03:23,07:48,0,51,2,12,0,41,3,58
2023/10/25,78,81,03:18,10:51,1,18,4,8,1,0,2,59
